#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2471 1.2790E-03 1.2790E-03  -1.12   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.620 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  72  0.667332  3.7435  4.6238 -0.4339  7.4665  6.2741  5.7845  5.6322  5.5825
  73  0.672047  3.7462  4.6179 -0.4146  7.3827  6.2156  5.7360  5.5876  5.5410
  74  0.676626  3.7486  4.6120 -0.3959  7.3030  6.1592  5.6891  5.5444  5.5007
  75  0.681042  3.7509  4.6059 -0.3778  7.2289  6.1055  5.6442  5.5030  5.4618
  76  0.685273  3.7532  4.6002 -0.3604  7.1576  6.0536  5.6008  5.4630  5.4243
  77  0.689299  3.7551  4.5942 -0.3439  7.0930  6.0054  5.5601  5.4252  5.3887
  78  0.693110  3.7572  4.5887 -0.3281  7.0309  5.9590  5.5210  5.3892  5.3548
  79  0.696715  3.7589  4.5830 -0.3132  6.9749  5.9160  5.4845  5.3552  5.3228
  80  0.700133  3.7606  4.5778 -0.2989  6.9203  5.8744  5.4493  5.3227  5.2921
  81  0.703385  3.7621  4.5723 -0.2853  6.8712  5.8358  5.4161  5.2918  5.2629
  82  0.707720  3.7642  4.5651 -0.2671  6.8049  5.7834  5.3713  5.2500  5.2236
  83  0.711987  3.7662  4.5576 -0.2490  6.7405  5.7319  5.3270  5.2086  5.1844
  84  0.716231  3.7682  4.5500 -0.2308  6.6767  5.6804  5.2826  5.1673  5.1452
  85  0.720484  3.7701  4.5421 -0.2126  6.6136  5.6290  5.2382  5.1257  5.1059
  86  0.724774  3.7721  4.5340 -0.1942  6.5501  5.5770  5.1933  5.0837  5.0659
  87  0.729115  3.7741  4.5256 -0.1753  6.4851  5.5243  5.1478  5.0411  5.0254
  88  0.733512  3.7760  4.5168 -0.1562  6.4200  5.4712  5.1019  4.9980  4.9843
  89  0.737965  3.7780  4.5077 -0.1367  6.3542  5.4171  5.0550  4.9540  4.9425
  90  0.742468  3.7799  4.4983 -0.1167  6.2881  5.3618  5.0068  4.9089  4.8993
  91  0.746975  3.7818  4.4884 -0.0966  6.2248  5.3064  4.9580  4.8629  4.8554
  92  0.751455  3.7837  4.4782 -0.0764  6.1628  5.2508  4.9085  4.8162  4.8108
  93  0.755873  3.7855  4.4679 -0.0561  6.1022  5.1949  4.8585  4.7690  4.7658
  94  0.760201  3.7873  4.4573 -0.0360  6.0434  5.1401  4.8092  4.7223  4.7211
  95  0.764420  3.7890  4.4466 -0.0162  5.9851  5.0860  4.7605  4.6761  4.6768
  96  0.768521  3.7906  4.4357  0.0034  5.9276  5.0328  4.7126  4.6307  4.6333
  97  0.772499  3.7921  4.4249  0.0227  5.8713  4.9809  4.6659  4.5864  4.5906
  98  0.776356  3.7936  4.4141  0.0417  5.8155  4.9293  4.6197  4.5425  4.5485
  99  0.780096  3.7949  4.4031  0.0602  5.7621  4.8796  4.5747  4.4997  4.5072
 100  0.783733  3.7964  4.3922  0.0787  5.7086  4.8294  4.5298  4.4571  4.4661
 101  0.787245  3.7975  4.3810  0.0966  5.6587  4.7816  4.4862  4.4154  4.4258
 102  0.790622  3.7989  4.3702  0.1146  5.6079  4.7331  4.4424  4.3738  4.3858
 103  0.793890  3.8000  4.3590  0.1320  5.5601  4.6867  4.3997  4.3330  4.3462
 104  0.797064  3.8012  4.3479  0.1493  5.5124  4.6402  4.3573  4.2924  4.3069
 105  0.800137  3.8023  4.3369  0.1665  5.4653  4.5942  4.3152  4.2522  4.2680
 106  0.803101  3.8033  4.3258  0.1836  5.4192  4.5489  4.2735  4.2123  4.2294
 107  0.805961  3.8044  4.3148  0.2004  5.3739  4.5040  4.2323  4.1728  4.1911
 108  0.808721  3.8055  4.3040  0.2171  5.3289  4.4595  4.1914  4.1336  4.1532
 109  0.811385  3.8066  4.2932  0.2334  5.2850  4.4158  4.1511  4.0950  4.1157
 110  0.813967  3.8077  4.2827  0.2497  5.2413  4.3723  4.1112  4.0567  4.0788
 111  0.816495  3.8087  4.2721  0.2658  5.1985  4.3294  4.0716  4.0187  4.0421
 112  0.817339  3.8090  4.2684  0.2713  5.1840  4.3148  4.0582  4.0058  4.0295
 113  0.818180  3.8093  4.2646  0.2768  5.1696  4.3002  4.0446  3.9927  4.0168
 114  0.819018  3.8096  4.2606  0.2824  5.1552  4.2855  4.0308  3.9794  4.0038
 115  0.819855  3.8098  4.2563  0.2880  5.1407  4.2707  4.0169  3.9660  3.9906
 116  0.820687  3.8100  4.2520  0.2937  5.1262  4.2559  4.0028  3.9523  3.9771
 117  0.821517  3.8103  4.2475  0.2994  5.1118  4.2408  3.9885  3.9384  3.9636
 118  0.822343  3.8104  4.2429  0.3052  5.0971  4.2257  3.9741  3.9242  3.9497
 119  0.823167  3.8106  4.2381  0.3111  5.0826  4.2105  3.9596  3.9100  3.9356
 120  0.823986  3.8108  4.2332  0.3170  5.0678  4.1952  3.9449  3.8955  3.9213
 121  0.824803  3.8109  4.2282  0.3230  5.0530  4.1799  3.9300  3.8810  3.9069
 122  0.825616  3.8110  4.2231  0.3291  5.0383  4.1643  3.9150  3.8663  3.8924
 123  0.826426  3.8111  4.2179  0.3351  5.0232  4.1488  3.8998  3.8513  3.8775
 124  0.827229  3.8112  4.2125  0.3413  5.0082  4.1330  3.8846  3.8361  3.8625
 125  0.828031  3.8113  4.2071  0.3474  4.9931  4.1173  3.8691  3.8209  3.8474
 126  0.828829  3.8113  4.2015  0.3536  4.9780  4.1014  3.8536  3.8056  3.8321
 127  0.829624  3.8113  4.1959  0.3598  4.9627  4.0855  3.8380  3.7900  3.8166
 128  0.830418  3.8114  4.1902  0.3662  4.9474  4.0695  3.8222  3.7743  3.8009
 129  0.831206  3.8115  4.1843  0.3725  4.9322  4.0534  3.8062  3.7585  3.7851
 130  0.831989  3.8115  4.1783  0.3788  4.9168  4.0373  3.7902  3.7425  3.7691
 131  0.832769  3.8114  4.1720  0.3853  4.9014  4.0210  3.7741  3.7263  3.7530
 132  0.833543  3.8113  4.1657  0.3918  4.8860  4.0048  3.7577  3.7099  3.7365
 133  0.834312  3.8112  4.1591  0.3983  4.8706  3.9886  3.7412  3.6933  3.7198
 134  0.835076  3.8111  4.1524  0.4050  4.8552  3.9722  3.7246  3.6765  3.7029
 135  0.835833  3.8109  4.1455  0.4115  4.8396  3.9558  3.7078  3.6595  3.6857
 136  0.836584  3.8107  4.1385  0.4183  4.8241  3.9393  3.6909  3.6424  3.6683
 137  0.837329  3.8105  4.1313  0.4249  4.8086  3.9228  3.6738  3.6250  3.6507
 138  0.838067  3.8102  4.1239  0.4318  4.7929  3.9062  3.6566  3.6074  3.6329
 139  0.838799  3.8099  4.1162  0.4386  4.7773  3.8895  3.6391  3.5897  3.6147
 140  0.839523  3.8096  4.1084  0.4455  4.7618  3.8729  3.6216  3.5716  3.5963
 141  0.840238  3.8092  4.1003  0.4524  4.7463  3.8562  3.6039  3.5535  3.5778
 142  0.840946  3.8088  4.0921  0.4594  4.7309  3.8395  3.5862  3.5351  3.5589
 143  0.841645  3.8084  4.0835  0.4664  4.7155  3.8228  3.5682  3.5164  3.5397
 144  0.842334  3.8078  4.0747  0.4735  4.7002  3.8061  3.5500  3.4976  3.5202
 145  0.843014  3.8073  4.0657  0.4806  4.6850  3.7894  3.5317  3.4785  3.5005
 146  0.843684  3.8066  4.0563  0.4878  4.6698  3.7728  3.5133  3.4591  3.4804
 147  0.844344  3.8059  4.0466  0.4950  4.6549  3.7561  3.4947  3.4394  3.4601
 148  0.844994  3.8051  4.0365  0.5023  4.6401  3.7397  3.4759  3.4196  3.4393
 149  0.845634  3.8043  4.0262  0.5095  4.6256  3.7233  3.4570  3.3995  3.4182
 150  0.846262  3.8033  4.0155  0.5169  4.6114  3.7071  3.4381  3.3791  3.3966
 151  0.846879  3.8023  4.0044  0.5242  4.5974  3.6910  3.4189  3.3584  3.3748
 152  0.847485  3.8012  3.9927  0.5316  4.5838  3.6752  3.3997  3.3375  3.3526
 153  0.848078  3.8000  3.9806  0.5390  4.5708  3.6595  3.3805  3.3165  3.3301
 154  0.848659  3.7986  3.9681  0.5464  4.5584  3.6442  3.3612  3.2952  3.3072
 155  0.849231  3.7972  3.9551  0.5538  4.5466  3.6290  3.3420  3.2738  3.2842
