objid,ra,dec,u,g,u-g,r,i,z,r-i,i-z
1.24E+18,229.744041,2.069184344,19.09931,18.1631,0.9362144,17.8575,17.75119,17.79252,0.10631,-0.04133
1.24E+18,229.7520435,2.083787915,19.14997,18.06341,1.086552,17.92311,17.78304,17.82581,0.14007,-0.04277
1.24E+18,229.7468141,2.125386512,19.24516,18.3014,0.943758,17.969,17.85078,17.88902,0.11822,-0.03824
1.24E+18,229.7706716,2.057445692,19.3318,18.309,1.022797,17.97484,17.83098,17.84813,0.14386,-0.01715
1.24E+18,229.7602653,2.051942076,19.29828,18.35437,0.9439087,18.03887,17.91946,17.95849,0.11941,-0.03903
1.24E+18,229.7799228,2.095682545,19.2236,18.25713,0.9664726,17.92954,17.80556,17.81321,0.12398,-0.00765
1.24E+18,229.7864005,2.064599884,19.27917,18.29577,0.9834003,17.98802,17.8631,17.91553,0.12492,-0.05243
1.24E+18,229.745321,2.119696996,19.36691,18.41827,0.948637,18.08505,17.97249,18.01759,0.11256,-0.0451
1.24E+18,229.7547082,2.093976101,19.33852,18.34793,0.9905891,18.03432,17.90746,17.94593,0.12686,-0.03847
1.24E+18,229.7657678,2.037048773,19.49456,18.47495,1.019608,18.16666,18.06348,18.06376,0.10318,-0.00028
1.24E+18,229.7641551,2.057880648,19.34072,18.39526,0.9454689,18.07562,17.95216,17.9706,0.12346,-0.01844
1.24E+18,229.7600288,2.13146822,19.44812,18.44613,1.001982,18.12525,18.02783,18.08091,0.09742,-0.05308
1.24E+18,229.7482893,2.115103209,19.37746,18.37149,1.005972,18.03669,17.92522,17.94536,0.11147,-0.02014
1.24E+18,229.7613631,2.049108713,19.39418,18.4617,0.9324741,18.14655,18.03219,18.00498,0.11436,0.02721
1.24E+18,229.7421962,2.024243872,20.1144,19.14124,0.9731522,18.76163,18.67451,18.66433,0.08712,0.01018
1.24E+18,229.7410946,2.019102886,22.26274,21.05312,1.209621,20.3956,20.21994,20.36425,0.17566,-0.14431
1.24E+18,229.7428761,2.018124895,22.16586,20.89999,1.265875,20.31027,20.176,20.17553,0.13427,0.00047
1.24E+18,229.7430086,2.025450457,24.82971,23.77639,1.053318,22.77128,21.07679,20.42599,1.69449,0.6508
1.24E+18,229.7433871,2.02184042,23.60207,22.5526,1.049477,21.48444,21.5028,21.00093,-0.01836,0.50187
1.24E+18,229.7419796,2.02053,24.49631,24.24385,0.2524586,22.92789,21.90597,22.25632,1.02192,-0.35035
1.24E+18,229.74226,2.023116563,23.79283,23.95001,-0.1571846,22.2907,22.34254,22.21189,-0.05184,0.13065
1.24E+18,229.7436267,2.010070169,18.12562,16.73345,1.39217,16.14061,15.90084,15.80661,0.23977,0.09423
1.24E+18,229.7416302,1.99433076,19.24382,18.10522,1.138601,17.57685,17.38961,17.30218,0.18724,0.08743
1.24E+18,229.7478838,1.992410458,22.04018,19.18978,2.850399,17.83824,17.3314,17.03571,0.50684,0.29569
1.24E+18,229.7455203,2.006444733,19.59757,18.64764,0.9499264,18.25207,18.19043,18.17094,0.06164,0.01949
1.24E+18,229.7450016,1.994128829,19.50219,18.55708,0.9451046,18.17934,18.09896,18.09622,0.08038,0.00274
1.24E+18,229.7472005,2.009482926,20.06683,19.1824,0.8844318,18.73061,18.68024,18.67185,0.05037,0.00839
1.24E+18,229.7483181,1.994509332,19.98714,19.06174,0.9254017,18.67743,18.58945,18.57514,0.08798,0.01431
1.24E+18,229.7460291,2.013228788,20.08753,19.18366,0.9038734,18.81468,18.72597,18.76756,0.08871,-0.04159
1.24E+18,229.7411662,2.000868612,20.27819,19.39706,0.8811359,18.95779,18.89325,18.80407,0.06454,0.08918
1.24E+18,229.7416372,2.001314115,20.61794,19.70831,0.9096355,19.24618,19.14051,19.05013,0.10567,0.09038
1.24E+18,229.7434249,1.991264731,20.56831,19.71197,0.8563404,19.2392,19.16464,19.14624,0.07456,0.0184
1.24E+18,229.7469791,2.005776575,21.6908,20.12165,1.569149,19.28103,19.08071,19.04329,0.20032,0.03742
