#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=14.200 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  74  0.595583  3.7326  4.6882 -0.5913  7.7574  6.7488  6.2371  6.0505  5.9729
  75  0.599259  3.7350  4.6829 -0.5740  7.6884  6.6960  6.1932  6.0106  5.9359
  76  0.602855  3.7373  4.6776 -0.5569  7.6215  6.6443  6.1501  5.9715  5.8997
  77  0.606373  3.7395  4.6723 -0.5402  7.5564  6.5935  6.1078  5.9331  5.8641
  78  0.609813  3.7417  4.6669 -0.5237  7.4931  6.5438  6.0664  5.8955  5.8292
  79  0.613178  3.7438  4.6616 -0.5075  7.4317  6.4951  6.0257  5.8585  5.7949
  80  0.616470  3.7459  4.6562 -0.4915  7.3721  6.4475  5.9857  5.8222  5.7612
  81  0.619694  3.7479  4.6509 -0.4758  7.3144  6.4010  5.9465  5.7864  5.7279
  82  0.624334  3.7507  4.6429 -0.4531  7.2323  6.3341  5.8897  5.7345  5.6793
  83  0.628963  3.7536  4.6347 -0.4301  7.1513  6.2674  5.8329  5.6824  5.6307
  84  0.633582  3.7565  4.6262 -0.4071  7.0702  6.2002  5.7759  5.6302  5.5820
  85  0.638188  3.7593  4.6174 -0.3838  6.9889  6.1326  5.7189  5.5784  5.5336
  86  0.642775  3.7621  4.6084 -0.3605  6.9080  6.0649  5.6617  5.5262  5.4851
  87  0.647336  3.7649  4.5992 -0.3370  6.8287  5.9975  5.6043  5.4737  5.4360
  88  0.651861  3.7677  4.5897 -0.3136  6.7514  5.9306  5.5466  5.4205  5.3861
  89  0.656331  3.7704  4.5800 -0.2899  6.6757  5.8641  5.4889  5.3671  5.3358
  90  0.660739  3.7731  4.5702 -0.2664  6.6012  5.7978  5.4312  5.3136  5.2854
  91  0.665075  3.7758  4.5600 -0.2428  6.5277  5.7317  5.3736  5.2601  5.2350
  92  0.669337  3.7784  4.5496 -0.2192  6.4550  5.6658  5.3160  5.2066  5.1845
  93  0.673521  3.7809  4.5390 -0.1956  6.3829  5.6002  5.2584  5.1531  5.1339
  94  0.677621  3.7834  4.5280 -0.1719  6.3117  5.5347  5.2008  5.0995  5.0833
  95  0.681637  3.7859  4.5168 -0.1482  6.2414  5.4693  5.1432  5.0458  5.0324
  96  0.685564  3.7883  4.5051 -0.1245  6.1721  5.4041  5.0855  4.9918  4.9812
  97  0.689402  3.7906  4.4931 -0.1008  6.1040  5.3391  5.0276  4.9375  4.9297
  98  0.693151  3.7929  4.4807 -0.0770  6.0368  5.2742  4.9695  4.8830  4.8778
  99  0.696806  3.7951  4.4679 -0.0531  5.9703  5.2094  4.9113  4.8281  4.8256
 100  0.700366  3.7972  4.4546 -0.0293  5.9043  5.1447  4.8532  4.7734  4.7733
 101  0.703823  3.7992  4.4409 -0.0055  5.8383  5.0802  4.7954  4.7189  4.7212
 102  0.707176  3.8011  4.4269  0.0182  5.7729  5.0160  4.7379  4.6646  4.6693
 103  0.710417  3.8030  4.4126  0.0419  5.7082  4.9520  4.6805  4.6104  4.6173
 104  0.713549  3.8047  4.3978  0.0656  5.6448  4.8886  4.6230  4.5559  4.5649
 105  0.716569  3.8063  4.3826  0.0890  5.5827  4.8257  4.5655  4.5011  4.5122
 106  0.719481  3.8078  4.3671  0.1125  5.5219  4.7633  4.5079  4.4460  4.4590
 107  0.722286  3.8092  4.3511  0.1357  5.4621  4.7014  4.4504  4.3907  4.4054
 108  0.724987  3.8105  4.3349  0.1589  5.4033  4.6401  4.3931  4.3356  4.3519
 109  0.727590  3.8117  4.3182  0.1819  5.3452  4.5795  4.3360  4.2804  4.2981
 110  0.730098  3.8128  4.3012  0.2047  5.2878  4.5194  4.2792  4.2253  4.2444
 111  0.732519  3.8137  4.2837  0.2274  5.2310  4.4598  4.2226  4.1704  4.1907
 112  0.733193  3.8140  4.2787  0.2338  5.2150  4.4430  4.2065  4.1547  4.1753
 113  0.733866  3.8142  4.2736  0.2404  5.1987  4.4259  4.1903  4.1389  4.1598
 114  0.734535  3.8145  4.2685  0.2468  5.1828  4.4090  4.1742  4.1231  4.1444
 115  0.735203  3.8147  4.2633  0.2533  5.1666  4.3920  4.1579  4.1073  4.1288
 116  0.735868  3.8150  4.2580  0.2601  5.1500  4.3745  4.1412  4.0911  4.1130
 117  0.736529  3.8152  4.2528  0.2666  5.1337  4.3573  4.1248  4.0750  4.0972
 118  0.737187  3.8154  4.2475  0.2733  5.1172  4.3398  4.1081  4.0588  4.0813
 119  0.737841  3.8157  4.2422  0.2801  5.1002  4.3219  4.0911  4.0423  4.0651
 120  0.738492  3.8160  4.2368  0.2869  5.0834  4.3041  4.0742  4.0259  4.0490
 121  0.739138  3.8163  4.2315  0.2937  5.0664  4.2861  4.0572  4.0093  4.0329
 122  0.739777  3.8167  4.2262  0.3008  5.0488  4.2673  4.0396  3.9923  4.0163
 123  0.740411  3.8170  4.2209  0.3079  5.0313  4.2488  4.0221  3.9754  3.9998
 124  0.741039  3.8173  4.2155  0.3150  5.0135  4.2298  4.0043  3.9582  3.9831
 125  0.741663  3.8177  4.2101  0.3223  4.9955  4.2106  3.9864  3.9410  3.9663
 126  0.742282  3.8181  4.2047  0.3296  4.9775  4.1911  3.9683  3.9236  3.9494
 127  0.742896  3.8184  4.1991  0.3370  4.9593  4.1716  3.9500  3.9060  3.9323
 128  0.743505  3.8188  4.1934  0.3444  4.9410  4.1519  3.9315  3.8881  3.9149
 129  0.744109  3.8191  4.1873  0.3519  4.9226  4.1322  3.9129  3.8699  3.8970
 130  0.744707  3.8193  4.1809  0.3595  4.9042  4.1124  3.8939  3.8514  3.8789
 131  0.745298  3.8194  4.1741  0.3672  4.8856  4.0926  3.8747  3.8325  3.8601
 132  0.745883  3.8195  4.1670  0.3750  4.8669  4.0727  3.8553  3.8132  3.8410
 133  0.746462  3.8196  4.1597  0.3828  4.8481  4.0526  3.8355  3.7938  3.8216
 134  0.747034  3.8196  4.1522  0.3907  4.8291  4.0325  3.8157  3.7740  3.8018
 135  0.747601  3.8195  4.1445  0.3986  4.8101  4.0123  3.7956  3.7540  3.7818
 136  0.748161  3.8195  4.1365  0.4067  4.7909  3.9921  3.7753  3.7337  3.7615
 137  0.748713  3.8194  4.1284  0.4148  4.7717  3.9716  3.7548  3.7130  3.7407
 138  0.749259  3.8192  4.1200  0.4230  4.7522  3.9511  3.7340  3.6922  3.7197
 139  0.749797  3.8190  4.1112  0.4312  4.7327  3.9306  3.7130  3.6709  3.6982
 140  0.750327  3.8188  4.1021  0.4395  4.7130  3.9100  3.6918  3.6493  3.6763
 141  0.750848  3.8185  4.0927  0.4479  4.6933  3.8894  3.6703  3.6274  3.6541
