objid,u,g,r,i,z,u-g,g-r,r-i
1.24E+18,23.66956,22.6221,21.94915,21.52,21.4018,1.04746,0.67295,0.42915
1.24E+18,15.72824,14.36984,13.61981,13.53382,13.67658,1.3584,0.75003,0.08599
1.24E+18,21.01144,19.4261,18.80166,18.57582,18.46501,1.58534,0.62444,0.22584
1.24E+18,24.85753,23.50139,22.31125,22.22522,23.7538,1.35614,1.19014,0.08603
1.24E+18,24.52415,23.87041,23.03078,22.16765,22.61048,0.65374,0.83963,0.86313
1.24E+18,24.4313,24.39415,22.65901,22.38007,22.56592,0.03715,1.73514,0.27894
1.24E+18,23.85589,25.23266,24.47733,22.56956,23.15894,-1.37677,0.75533,1.90777
1.24E+18,19.20139,17.74576,17.1688,16.80489,16.63232,1.45563,0.57696,0.36391
1.24E+18,22.992,21.37736,20.91516,20.67232,20.76484,1.61464,0.4622,0.24284
1.24E+18,22.8674,21.35152,20.94938,20.68556,20.81252,1.51588,0.40214,0.26382
1.24E+18,24.49778,24.05075,22.91618,22.17845,22.12025,0.44703,1.13457,0.73773
1.24E+18,24.73201,23.88953,22.80011,22.88231,21.91291,0.84248,1.08942,-0.0822
1.24E+18,18.34681,16.3936,15.67525,15.42862,15.31324,1.95321,0.71835,0.24663
1.24E+18,19.22978,18.34617,18.10273,18.08027,17.95903,0.88361,0.24344,0.02246
1.24E+18,19.94493,19.05876,18.83318,18.7342,18.67106,0.88617,0.22558,0.09898
1.24E+18,21.52252,20.83468,20.4326,20.25347,20.32139,0.68784,0.40208,0.17913
1.24E+18,25.02104,22.9857,22.19844,22.04998,21.857,2.03534,0.78726,0.14846
1.24E+18,24.69963,24.01805,22.91018,22.32035,21.85905,0.68158,1.10787,0.58983
1.24E+18,15.61629,14.43994,14.06709,13.93594,13.9237,1.17635,0.37285,0.13115
1.24E+18,19.2243,17.76841,17.19563,16.96598,16.87623,1.45589,0.57278,0.22965
1.24E+18,21.04387,20.10909,19.79201,19.69062,19.74873,0.93478,0.31708,0.10139
1.24E+18,24.02122,21.56029,20.20802,19.55335,19.33719,2.46093,1.35227,0.65467
1.24E+18,23.9296,22.23522,21.89961,21.5887,21.15243,1.69438,0.33561,0.31091
1.24E+18,23.85913,22.11297,21.3819,21.1235,21.22499,1.74616,0.73107,0.2584
1.24E+18,23.8092,22.65808,21.9318,21.47373,21.77426,1.15112,0.72628,0.45807
1.24E+18,23.86197,22.6204,22.0876,21.68986,21.64671,1.24157,0.5328,0.39774
1.24E+18,23.94895,23.12838,22.39616,21.8885,22.15019,0.82057,0.73222,0.50766
1.24E+18,24.89256,23.13874,22.64128,22.23235,22.72138,1.75382,0.49746,0.40893
1.24E+18,18.11862,16.95639,16.55021,16.39692,16.33339,1.16223,0.40618,0.15329
1.24E+18,19.51119,18.54456,18.32552,18.21637,18.26449,0.96663,0.21904,0.10915
1.24E+18,22.44673,21.65245,21.12282,20.85905,22.37612,0.79428,0.52963,0.26377
1.24E+18,24.28817,24.02838,22.81137,22.75587,22.8246,0.25979,1.21701,0.0555
1.24E+18,24.69644,23.15737,22.39963,22.0506,22.8144,1.53907,0.75774,0.34903
1.24E+18,23.8384,23.10365,22.11751,21.68747,21.36131,0.73475,0.98614,0.43004
1.24E+18,18.32565,17.26832,16.80759,16.58951,16.47759,1.05733,0.46073,0.21808
1.24E+18,18.21987,16.6137,16.06596,15.88354,15.8147,1.60617,0.54774,0.18242
1.24E+18,20.26239,19.34649,19.0815,18.96565,19.02969,0.9159,0.26499,0.11585
1.24E+18,25.59182,23.42116,24.59819,23.75117,22.75218,2.17066,-1.17703,0.84702
1.24E+18,23.97481,23.20329,22.62043,21.85122,21.31866,0.77152,0.58286,0.76921
1.24E+18,19.003,17.99078,17.60838,17.43503,17.35216,1.01222,0.3824,0.17335
1.24E+18,20.71797,19.84771,19.54562,19.35564,22.82811,0.87026,0.30209,0.18998
1.24E+18,20.92433,20.09014,19.79146,19.56193,19.7524,0.83419,0.29868,0.22953
1.24E+18,22.20255,21.11882,20.63893,20.33873,20.83953,1.08373,0.47989,0.3002
1.24E+18,22.04928,21.07549,20.61277,20.41638,20.58904,0.97379,0.46272,0.19639
1.24E+18,24.11782,23.73873,22.35964,21.68088,22.13727,0.37909,1.37909,0.67876
1.24E+18,16.00134,14.33627,13.36056,13.04228,13.19826,1.66507,0.97571,0.31828
1.24E+18,20.64013,19.69698,19.42863,19.31695,19.25843,0.94315,0.26835,0.11168
1.24E+18,20.11554,19.16417,18.88993,18.82311,18.7975,0.95137,0.27424,0.06682
1.24E+18,21.45611,20.52954,20.16589,19.93535,20.113,0.92657,0.36365,0.23054
1.24E+18,22.21398,19.55966,18.14544,17.38436,16.95523,2.65432,1.41422,0.76108
1.24E+18,24.17876,22.77758,22.19227,21.76283,21.58953,1.40118,0.58531,0.42944
1.24E+18,20.84486,18.58591,17.60164,17.26662,17.07795,2.25895,0.98427,0.33502
1.24E+18,21.98271,20.95595,20.47183,20.27732,20.17832,1.02676,0.48412,0.19451
1.24E+18,24.44069,23.44543,22.77073,23.09416,22.03794,0.99526,0.6747,-0.32343
1.24E+18,21.81325,19.25544,17.95986,17.32564,16.96961,2.55781,1.29558,0.63422
1.24E+18,25.1298,24.61015,22.32786,21.75055,21.13553,0.51965,2.28229,0.57731
1.24E+18,19.72902,18.81124,18.60212,18.52872,18.45354,0.91778,0.20912,0.0734
1.24E+18,24.05892,22.41315,21.65695,21.452,21.54383,1.64577,0.7562,0.20495
1.24E+18,19.73796,18.86051,18.6531,18.55099,18.52443,0.87745,0.20741,0.10211
1.24E+18,22.93693,21.68572,21.16414,20.92358,21.19698,1.25121,0.52158,0.24056
1.24E+18,20.40653,19.57767,19.31807,19.19338,19.1914,0.82886,0.2596,0.12469
1.24E+18,21.26173,20.32616,20.03918,19.87883,19.87269,0.93557,0.28698,0.16035
1.24E+18,23.56795,22.15931,21.53615,21.41603,21.15975,1.40864,0.62316,0.12012
1.24E+18,23.44114,20.82944,19.518,18.85173,18.44551,2.6117,1.31144,0.66627
1.24E+18,20.71851,19.80573,19.52765,19.38816,19.35891,0.91278,0.27808,0.13949
1.24E+18,23.36903,24.38147,22.71706,21.74736,21.09567,-1.01244,1.66441,0.9697
1.24E+18,24.10762,24.78689,23.57307,21.92991,21.53058,-0.67927,1.21382,1.64316
1.24E+18,24.71601,24.65089,23.72097,22.26307,21.02766,0.06512,0.92992,1.4579
1.24E+18,21.37473,19.72708,19.14134,18.89103,18.81519,1.64765,0.58574,0.25031
1.24E+18,19.59948,18.19935,17.70751,17.51606,17.46766,1.40013,0.49184,0.19145
1.24E+18,20.02846,19.12566,18.88554,18.92516,18.7845,0.9028,0.24012,-0.03962
1.24E+18,20.12386,19.16586,18.95593,18.84585,18.76577,0.958,0.20993,0.11008
1.24E+18,20.49136,19.5688,19.33968,19.21813,19.35068,0.92256,0.22912,0.12155
1.24E+18,20.83704,19.81706,19.36592,19.19708,19.17604,1.01998,0.45114,0.16884
1.24E+18,24.15762,22.53307,21.74515,21.747,22.71718,1.62455,0.78792,-0.00185
1.24E+18,20.93804,19.92845,19.66306,19.56852,19.61749,1.00959,0.26539,0.09454
1.24E+18,24.29887,23.3177,22.37006,22.33885,21.67901,0.98117,0.94764,0.03121
1.24E+18,19.92454,18.78089,18.38308,18.22201,18.20026,1.14365,0.39781,0.16107
1.24E+18,22.65691,21.85271,21.35377,20.96263,20.82451,0.8042,0.49894,0.39114
1.24E+18,20.06684,19.20369,18.97327,18.86967,18.94753,0.86315,0.23042,0.1036
1.24E+18,21.58886,20.74739,20.39157,20.15481,20.12799,0.84147,0.35582,0.23676
1.24E+18,22.54197,21.26245,20.77285,20.58079,20.69405,1.27952,0.4896,0.19206
1.24E+18,25.07405,24.03002,22.94391,22.50488,22.35362,1.04403,1.08611,0.43903
1.24E+18,19.85823,18.95589,18.73479,18.63463,18.61099,0.90234,0.2211,0.10016
1.24E+18,21.50025,20.5894,20.19579,20.16642,20.23965,0.91085,0.39361,0.02937
1.24E+18,25.33137,24.53064,22.27006,21.58769,21.53675,0.80073,2.26058,0.68237
1.24E+18,21.28266,19.12294,18.27246,17.92346,17.77045,2.15972,0.85048,0.349
1.24E+18,21.64059,20.83816,20.43604,20.29464,20.0443,0.80243,0.40212,0.1414
1.24E+18,24.35553,23.86709,22.75713,21.90776,22.79843,0.48844,1.10996,0.84937
1.24E+18,25.08673,24.18499,22.78346,22.55595,21.50863,0.90174,1.40153,0.22751
1.24E+18,19.67742,18.6856,18.47162,18.36366,18.35538,0.99182,0.21398,0.10796
1.24E+18,22.80622,21.79516,21.293,20.85683,20.79094,1.01106,0.50216,0.43617
1.24E+18,20.15779,19.16844,18.98381,18.87889,18.85348,0.98935,0.18463,0.10492
1.24E+18,21.48766,20.31056,20.00453,19.89712,19.63252,1.1771,0.30603,0.10741
1.24E+18,23.76006,22.34185,20.83117,19.74498,19.27418,1.41821,1.51068,1.08619
1.24E+18,20.43245,19.62388,19.39053,19.27443,19.20594,0.80857,0.23335,0.1161
1.24E+18,23.14961,22.26412,21.5893,21.26464,20.39276,0.88549,0.67482,0.32466
1.24E+18,24.87084,22.79916,22.05606,22.0174,21.79458,2.07168,0.7431,0.03866
1.24E+18,25.08037,24.17208,22.66304,22.21254,22.73557,0.90829,1.50904,0.4505
1.24E+18,21.90481,19.20109,17.93258,17.34758,17.02409,2.70372,1.26851,0.585
1.24E+18,20.02848,19.10472,18.89439,18.79162,18.77801,0.92376,0.21033,0.10277
1.24E+18,24.39787,23.21634,21.9994,21.92661,21.74703,1.18153,1.21694,0.07279
1.24E+18,20.03528,19.1614,18.91016,18.82013,18.77668,0.87388,0.25124,0.09003
1.24E+18,20.98986,20.15917,19.71305,19.52422,19.48769,0.83069,0.44612,0.18883
1.24E+18,22.45045,20.09636,19.02655,18.57473,18.3562,2.35409,1.06981,0.45182
1.24E+18,21.96235,21.3563,20.84767,20.64979,21.11786,0.60605,0.50863,0.19788
1.24E+18,22.16896,21.30714,20.82765,20.52194,20.89163,0.86182,0.47949,0.30571
1.24E+18,24.54201,23.08276,22.22027,21.66987,22.48843,1.45925,0.86249,0.5504
1.24E+18,24.84216,23.35611,22.9852,23.53609,22.63309,1.48605,0.37091,-0.55089
1.24E+18,23.40824,21.10578,19.80511,18.62493,17.9766,2.30246,1.30067,1.18018
1.24E+18,23.13712,20.87656,19.48165,18.6217,17.94336,2.26056,1.39491,0.85995
1.24E+18,24.57591,21.19808,19.79111,18.73919,18.23864,3.37783,1.40697,1.05192
1.24E+18,24.03553,22.32667,21.48896,21.00659,20.83096,1.70886,0.83771,0.48237
1.24E+18,20.95012,20.07796,19.76479,19.65109,19.68939,0.87216,0.31317,0.1137
1.24E+18,21.73145,21.02501,20.55414,20.40815,20.18215,0.70644,0.47087,0.14599
1.24E+18,23.19244,22.13494,21.429,21.30159,20.93103,1.0575,0.70594,0.12741
1.24E+18,20.99025,20.14671,19.81773,19.68667,19.70092,0.84354,0.32898,0.13106
1.24E+18,22.84804,21.69534,21.22479,21.0667,20.97705,1.1527,0.47055,0.15809
1.24E+18,22.90915,20.63687,19.71489,19.36852,19.1954,2.27228,0.92198,0.34637
1.24E+18,24.98325,22.43919,21.63683,21.2889,21.08402,2.54406,0.80236,0.34793
1.24E+18,25.21476,23.92129,22.87234,22.10179,21.1539,1.29347,1.04895,0.77055
1.24E+18,22.89493,20.76114,19.40546,18.51037,18.01718,2.13379,1.35568,0.89509
1.24E+18,24.60053,21.99016,20.64164,19.92229,19.67855,2.61037,1.34852,0.71935
1.24E+18,21.00665,20.07275,19.7268,19.6125,19.49171,0.9339,0.34595,0.1143
1.24E+18,21.80669,20.97266,20.5499,20.381,20.37026,0.83403,0.42276,0.1689
1.24E+18,23.96706,22.64048,22.02008,21.59135,21.3139,1.32658,0.6204,0.42873
1.24E+18,23.56012,20.93815,19.64776,19.05889,18.80851,2.62197,1.29039,0.58887
1.24E+18,21.51075,20.65735,20.29037,20.13849,20.18238,0.8534,0.36698,0.15188
1.24E+18,21.86011,20.97719,20.52373,20.41041,20.29642,0.88292,0.45346,0.11332
1.24E+18,21.72261,20.91104,20.56339,20.39333,20.17387,0.81157,0.34765,0.17006
1.24E+18,24.22531,22.41301,21.72047,21.46324,21.59066,1.8123,0.69254,0.25723
1.24E+18,21.96543,20.94923,20.54619,20.40296,20.27278,1.0162,0.40304,0.14323
1.24E+18,23.69124,22.4181,21.17766,20.64404,20.28116,1.27314,1.24044,0.53362
1.24E+18,24.48386,23.48556,22.95098,22.01347,22.95712,0.9983,0.53458,0.93751
1.24E+18,21.4483,20.55449,20.16198,20.00136,19.8807,0.89381,0.39251,0.16062
1.24E+18,22.40585,21.36209,20.85806,20.64828,20.47592,1.04376,0.50403,0.20978
1.24E+18,22.43824,21.99785,21.39046,21.27329,20.91453,0.44039,0.60739,0.11717
1.24E+18,26.00258,22.66486,21.10168,20.16483,19.67441,3.33772,1.56318,0.93685
1.24E+18,22.03422,21.27311,20.7264,20.5912,20.3514,0.76111,0.54671,0.1352
1.24E+18,24.15221,22.98679,22.11945,22.09124,21.44352,1.16542,0.86734,0.02821
1.24E+18,23.09607,22.43821,22.54552,22.31892,22.42551,0.65786,-0.10731,0.2266
1.24E+18,21.88266,20.85833,20.46056,20.28638,20.21873,1.02433,0.39777,0.17418
1.24E+18,22.14262,21.44736,20.90728,20.64752,20.58924,0.69526,0.54008,0.25976
1.24E+18,23.97805,24.31718,22.04178,20.85083,20.35835,-0.33913,2.2754,1.19095
1.24E+18,22.26279,21.16082,20.73327,20.4816,20.49047,1.10197,0.42755,0.25167
1.24E+18,22.63963,21.36099,20.97821,20.74692,20.72655,1.27864,0.38278,0.23129
1.24E+18,22.49043,25.58679,25.36811,24.21908,22.24026,-3.09636,0.21868,1.14903
1.24E+18,21.81812,21.00811,20.56092,20.46446,20.49363,0.81001,0.44719,0.09646
1.24E+18,21.7776,20.94688,20.50964,20.37915,20.17519,0.83072,0.43724,0.13049
1.24E+18,24.44096,24.22418,22.9629,22.66846,22.02923,0.21678,1.26128,0.29444
1.24E+18,23.70437,23.1858,23.17047,22.40089,22.92094,0.51857,0.01533,0.76958
1.24E+18,21.69838,20.98282,20.52164,20.35611,20.6021,0.71556,0.46118,0.16553
1.24E+18,24.39651,24.8667,24.30033,22.13903,21.02412,-0.47019,0.56637,2.1613
1.24E+18,21.98541,21.09516,20.71953,20.47759,20.15965,0.89025,0.37563,0.24194
1.24E+18,22.1,21.04656,20.71433,20.57213,20.47885,1.05344,0.33223,0.1422
1.24E+18,21.18318,20.25872,19.91724,19.77301,19.62731,0.92446,0.34148,0.14423
1.24E+18,22.47836,21.26583,20.80819,20.66943,20.6067,1.21253,0.45764,0.13876
1.24E+18,21.97474,21.052,20.59872,20.52247,20.44413,0.92274,0.45328,0.07625
1.24E+18,24.96266,23.16249,21.59568,20.3259,19.83704,1.80017,1.56681,1.26978
1.24E+18,22.50516,25.97898,25.03962,24.112,22.96122,-3.47382,0.93936,0.92762
1.24E+18,22.01594,20.41139,19.77136,19.53468,19.41752,1.60455,0.64003,0.23668
1.24E+18,21.84282,21.05487,20.67769,20.49669,20.71017,0.78795,0.37718,0.181
1.24E+18,24.65974,22.0275,20.81904,20.37851,20.07862,2.63224,1.20846,0.44053
1.24E+18,22.26437,26.11665,25.79118,25.519,22.27081,-3.85228,0.32547,0.27218
1.24E+18,21.65319,20.68716,20.48492,20.14212,19.99177,0.96603,0.20224,0.3428
1.24E+18,22.44039,25.46725,25.88882,25.76956,22.64631,-3.02686,-0.42157,0.11926
1.24E+18,21.87628,20.96992,20.59778,20.38283,20.21247,0.90636,0.37214,0.21495
1.24E+18,23.2924,22.51367,21.63621,21.61086,21.01807,0.77873,0.87746,0.02535
1.24E+18,24.92769,23.52814,22.4298,22.60849,22.92762,1.39955,1.09834,-0.17869
1.24E+18,22.56013,25.4438,25.11966,24.44104,22.44956,-2.88367,0.32414,0.67862
1.24E+18,21.25411,20.53905,20.11576,19.94708,20.04115,0.71506,0.42329,0.16868
1.24E+18,23.5535,22.03857,21.40224,21.13817,21.39329,1.51493,0.63633,0.26407
1.24E+18,22.0434,25.73214,24.96124,23.44661,21.81305,-3.68874,0.7709,1.51463
1.24E+18,21.16167,20.21588,19.97187,19.80677,19.93384,0.94579,0.24401,0.1651
1.24E+18,21.89613,20.90946,20.43961,20.3219,20.10081,0.98667,0.46985,0.11771
1.24E+18,21.09863,20.27178,19.90768,19.80738,19.82917,0.82685,0.3641,0.1003
1.24E+18,25.24647,22.90233,21.97824,21.69126,21.84758,2.34414,0.92409,0.28698
1.24E+18,21.242,20.38347,20.0183,19.86826,19.84171,0.85853,0.36517,0.15004
1.24E+18,22.30347,21.418,20.94756,20.58186,20.54156,0.88547,0.47044,0.3657
1.24E+18,21.16082,20.34788,19.99642,19.87513,19.84495,0.81294,0.35146,0.12129
1.24E+18,22.08539,20.90393,20.65336,20.4229,20.82026,1.18146,0.25057,0.23046
1.24E+18,25.21123,22.45786,21.01588,20.34966,20.10324,2.75337,1.44198,0.66622
1.24E+18,24.10793,22.80783,22.18065,22.07944,21.59641,1.3001,0.62718,0.10121
1.24E+18,22.36716,21.6997,21.08481,20.81479,20.59806,0.66746,0.61489,0.27002
1.24E+18,23.55072,22.99408,22.09451,21.59106,21.46602,0.55664,0.89957,0.50345
1.24E+18,24.09,23.75284,22.18327,21.85195,22.08478,0.33716,1.56957,0.33132
1.24E+18,20.98608,20.18994,19.89486,19.76715,19.57233,0.79614,0.29508,0.12771
1.24E+18,24.72621,22.97943,22.42286,21.85321,21.49301,1.74678,0.55657,0.56965
1.24E+18,22.45385,20.85161,19.87323,19.44202,19.22937,1.60224,0.97838,0.43121
1.24E+18,22.32371,21.5365,21.08286,20.72584,20.27378,0.78721,0.45364,0.35702
1.24E+18,23.79144,22.02152,21.30386,21.06246,20.97905,1.76992,0.71766,0.2414
1.24E+18,23.97089,24.35652,23.11538,23.53267,22.91865,-0.38563,1.24114,-0.41729
1.24E+18,22.24737,21.35526,20.93495,20.70436,20.65196,0.89211,0.42031,0.23059
1.24E+18,21.90066,20.89955,20.47268,20.28082,20.31898,1.00111,0.42687,0.19186
1.24E+18,22.4124,21.13822,20.72553,20.4089,20.4338,1.27418,0.41269,0.31663
1.24E+18,21.57542,20.57504,20.14658,19.91824,19.89121,1.00038,0.42846,0.22834
1.24E+18,24.79942,24.12247,22.4505,21.03862,20.07685,0.67695,1.67197,1.41188
1.24E+18,22.91344,21.69637,21.14267,20.77487,20.5456,1.21707,0.5537,0.3678
1.24E+18,24.93028,23.08944,21.90375,20.92616,20.14022,1.84084,1.18569,0.97759
1.24E+18,23.56307,22.2619,21.57393,21.48124,21.60468,1.30117,0.68797,0.09269
1.24E+18,23.40809,22.14771,21.44956,21.33782,21.0475,1.26038,0.69815,0.11174
1.24E+18,22.83844,21.64895,21.16224,20.90793,21.01319,1.18949,0.48671,0.25431
1.24E+18,25.36432,25.65112,22.73746,23.34482,23.2443,-0.2868,2.91366,-0.60736
1.24E+18,23.31434,21.78648,21.45001,21.26493,21.13719,1.52786,0.33647,0.18508
1.24E+18,23.04275,22.0254,21.52267,21.11659,21.34021,1.01735,0.50273,0.40608
1.24E+18,23.67704,21.94111,20.85601,20.16515,19.74647,1.73593,1.0851,0.69086
1.24E+18,24.54677,22.91058,21.3618,19.94575,19.18919,1.63619,1.54878,1.41605
1.24E+18,23.42368,23.09091,22.32041,21.95907,21.15132,0.33277,0.7705,0.36134
1.24E+18,22.85047,22.03007,21.41076,21.11803,20.72458,0.8204,0.61931,0.29273
1.24E+18,23.19907,22.09903,21.00577,20.50737,20.36659,1.10004,1.09326,0.4984
1.24E+18,23.7782,22.05112,21.54183,21.17197,21.12801,1.72708,0.50929,0.36986
1.24E+18,24.87838,21.96203,21.27024,21.20914,21.10914,2.91635,0.69179,0.0611
1.24E+18,24.54592,23.32316,22.11613,21.22947,20.52584,1.22276,1.20703,0.88666
1.24E+18,23.61405,22.45055,21.93171,21.9486,22.01245,1.1635,0.51884,-0.01689
1.24E+18,24.72178,23.10148,22.30847,21.7745,21.30221,1.6203,0.79301,0.53397
1.24E+18,25.02619,23.07122,22.41397,22.02758,21.82537,1.95497,0.65725,0.38639
1.24E+18,23.13279,21.71639,21.29336,20.90592,20.50283,1.4164,0.42303,0.38744
1.24E+18,23.46186,22.99969,22.26827,22.07284,21.35432,0.46217,0.73142,0.19543
1.24E+18,25.19763,22.29872,20.83706,19.43234,18.68657,2.89891,1.46166,1.40472
1.24E+18,24.40087,21.28854,20.50067,20.18143,19.99375,3.11233,0.78787,0.31924
1.24E+18,23.35361,22.66014,21.86721,21.60864,21.07097,0.69347,0.79293,0.25857
1.24E+18,22.6583,21.90541,21.34349,21.17786,20.97268,0.75289,0.56192,0.16563
1.24E+18,25.22979,23.14253,22.24505,21.92558,21.28125,2.08726,0.89748,0.31947
1.24E+18,22.89491,22.44856,21.8564,21.7483,21.49203,0.44635,0.59216,0.1081
1.24E+18,23.39677,21.9622,21.4392,21.17894,20.99066,1.43457,0.523,0.26026
1.24E+18,24.11439,23.01486,22.24779,21.96752,21.32295,1.09953,0.76707,0.28027
1.24E+18,24.75125,24.5662,23.01934,22.09214,23.33221,0.18505,1.54686,0.9272
1.24E+18,23.35347,22.14965,21.5724,21.2255,21.70601,1.20382,0.57725,0.3469
1.24E+18,25.03489,22.46299,21.97253,21.79803,21.61737,2.5719,0.49046,0.1745
1.24E+18,24.5793,22.21226,21.19859,20.70147,20.55999,2.36704,1.01367,0.49712
1.24E+18,24.0864,23.05195,22.03051,21.95484,21.58885,1.03445,1.02144,0.07567
1.24E+18,22.5003,21.55569,20.99272,20.79399,20.99628,0.94461,0.56297,0.19873
1.24E+18,22.60928,21.55049,21.10421,20.83893,20.40864,1.05879,0.44628,0.26528
1.24E+18,24.12312,22.70228,21.93574,21.82049,20.97315,1.42084,0.76654,0.11525
1.24E+18,23.00348,22.27905,21.51939,21.20161,21.33435,0.72443,0.75966,0.31778
1.24E+18,23.76044,23.17615,22.6116,21.74648,21.50364,0.58429,0.56455,0.86512
1.24E+18,24.4911,22.19039,21.53868,21.43466,21.10451,2.30071,0.65171,0.10402
1.24E+18,25.05177,22.78674,22.05792,21.94837,21.55048,2.26503,0.72882,0.10955
1.24E+18,23.20628,21.6847,21.06698,20.86017,21.33694,1.52158,0.61772,0.20681
1.24E+18,24.59704,22.77053,21.65599,21.36581,21.50344,1.82651,1.11454,0.29018
1.24E+18,23.58281,22.80431,22.14861,21.72254,21.5162,0.7785,0.6557,0.42607
1.24E+18,23.58115,22.08278,21.38232,21.24884,21.20643,1.49837,0.70046,0.13348
1.24E+18,24.9071,22.83259,21.98782,21.76412,22.64086,2.07451,0.84477,0.2237
1.24E+18,22.81964,21.13158,20.43932,20.15971,19.89977,1.68806,0.69226,0.27961
1.24E+18,24.69987,22.67513,21.92506,21.5809,20.71297,2.02474,0.75007,0.34416
1.24E+18,24.68612,23.47787,22.61836,20.96492,20.17541,1.20825,0.85951,1.65344
1.24E+18,24.32371,22.67673,22.04601,21.69111,22.45971,1.64698,0.63072,0.3549
1.24E+18,23.79772,23.32857,22.4638,21.75303,21.48237,0.46915,0.86477,0.71077
1.24E+18,23.02382,21.9934,21.26211,20.93771,21.25787,1.03042,0.73129,0.3244
1.24E+18,22.97701,22.04946,21.43094,21.27021,20.74343,0.92755,0.61852,0.16073
1.24E+18,24.03107,22.92531,22.24703,21.84095,21.62289,1.10576,0.67828,0.40608
1.24E+18,22.62237,21.44485,20.89673,20.64713,20.59756,1.17752,0.54812,0.2496
1.24E+18,23.7995,22.53953,21.84331,21.60128,21.53862,1.25997,0.69622,0.24203
1.24E+18,23.55914,22.75567,21.88328,21.56152,20.88507,0.80347,0.87239,0.32176
1.24E+18,23.46998,21.69905,20.39596,19.6837,19.2352,1.77093,1.30309,0.71226
1.24E+18,23.95194,23.27011,22.47746,21.8219,22.14543,0.68183,0.79265,0.65556
1.24E+18,22.92255,22.41636,21.81444,21.4691,21.24316,0.50619,0.60192,0.34534
1.24E+18,24.34134,22.85421,22.09934,21.94613,22.03474,1.48713,0.75487,0.15321
1.24E+18,24.82824,24.83851,23.89601,22.24965,21.83048,-0.01027,0.9425,1.64636
1.24E+18,24.02706,22.33654,21.81963,21.5557,21.09636,1.69052,0.51691,0.26393
1.24E+18,24.75086,22.49461,21.9738,21.44328,21.43092,2.25625,0.52081,0.53052
1.24E+18,24.17146,22.06196,21.49324,21.10589,20.98605,2.1095,0.56872,0.38735
1.24E+18,24.58321,24.67916,22.95383,22.66922,22.3887,-0.09595,1.72533,0.28461
1.24E+18,24.26153,22.63566,21.9829,21.76185,21.01257,1.62587,0.65276,0.22105
1.24E+18,24.09698,22.58963,21.77867,21.59951,22.1421,1.50735,0.81096,0.17916
1.24E+18,24.11866,22.95126,21.85453,21.79398,22.0057,1.1674,1.09673,0.06055
1.24E+18,25.44048,22.98587,22.18144,21.91728,21.07899,2.45461,0.80443,0.26416
1.24E+18,22.66871,20.82254,19.98517,19.69277,19.45435,1.84617,0.83737,0.2924
1.24E+18,24.29118,22.55601,21.84617,21.58175,21.76239,1.73517,0.70984,0.26442
1.24E+18,24.90319,22.18011,21.61796,21.594,21.04094,2.72308,0.56215,0.02396
1.24E+18,24.53201,24.02622,22.88902,22.22491,21.63985,0.50579,1.1372,0.66411
1.24E+18,25.76796,23.3183,22.58192,22.2948,22.11648,2.44966,0.73638,0.28712
1.24E+18,22.88875,23.50274,22.29592,22.38357,21.61866,-0.61399,1.20682,-0.08765
1.24E+18,23.78854,23.21884,22.18676,22.43291,21.77759,0.5697,1.03208,-0.24615
1.24E+18,25.31133,23.33599,21.6694,20.8751,20.48682,1.97534,1.66659,0.7943
1.24E+18,24.61942,23.53219,22.2928,22.22862,22.35507,1.08723,1.23939,0.06418
1.24E+18,23.50248,24.55569,22.73445,22.06928,21.4952,-1.05321,1.82124,0.66517
1.24E+18,23.87482,23.38748,22.5407,21.86365,23.57474,0.48734,0.84678,0.67705
1.24E+18,23.86489,23.23997,22.69798,22.9405,22.42075,0.62492,0.54199,-0.24252
1.24E+18,25.43556,24.44345,22.86662,22.26556,23.3005,0.99211,1.57683,0.60106
1.24E+18,25.47605,24.29446,22.87868,22.61764,21.65035,1.18159,1.41578,0.26104
1.24E+18,25.33379,23.21684,22.02435,21.62608,20.87051,2.11695,1.19249,0.39827
1.24E+18,24.22484,23.78484,22.52576,22.53908,21.85375,0.44,1.25908,-0.01332
1.24E+18,23.9838,23.48358,22.50368,22.03596,22.00203,0.50022,0.9799,0.46772
1.24E+18,23.0213,23.423,22.56207,22.53038,21.33124,-0.4017,0.86093,0.03169
1.24E+18,24.40185,23.80318,22.18287,22.03621,22.15893,0.59867,1.62031,0.14666
1.24E+18,24.19682,23.39309,22.92901,22.19518,22.09096,0.80373,0.46408,0.73383
1.24E+18,24.55244,23.24616,22.65505,22.38079,21.2986,1.30628,0.59111,0.27426
1.24E+18,24.91309,24.44271,23.00447,22.63631,22.66034,0.47038,1.43824,0.36816
1.24E+18,24.82903,24.52471,22.94394,23.32121,23.20263,0.30432,1.58077,-0.37727
1.24E+18,24.57827,23.65111,22.3336,21.50621,20.90281,0.92716,1.31751,0.82739
1.24E+18,25.17454,23.48678,22.61676,21.85351,21.61344,1.68776,0.87002,0.76325
1.24E+18,23.32287,25.33388,22.69956,21.68655,21.04393,-2.01101,2.63432,1.01301
1.24E+18,24.05303,23.33868,22.38863,21.91118,22.58068,0.71435,0.95005,0.47745
1.24E+18,23.64535,23.87614,22.18697,21.17405,21.46681,-0.23079,1.68917,1.01292
1.24E+18,23.24317,24.17931,22.52237,22.07922,22.97725,-0.93614,1.65694,0.44315
1.24E+18,24.47862,23.74646,22.4215,20.8662,20.15063,0.73216,1.32496,1.5553
