objid,u,g,r,i,z,u-g,g-r,r-i
1.24E+18,20.97947,23.35017,19.81709,22.49563,19.93428,-2.3707,3.53308,-2.67854
1.24E+18,21.9319,20.40672,28.09624,19.32289,26.00288,1.52518,-7.68952,8.77335
1.24E+18,21.76827,21.78096,20.49332,20.46011,20.16449,-0.01269,1.28764,0.03321
1.24E+18,23.40447,20.92671,22.22143,20.43135,21.61191,2.47776,-1.29472,1.79008
1.24E+18,24.74875,23.54057,22.89974,20.90975,21.66496,1.20818,0.64083,1.98999
1.24E+18,24.51245,22.61767,21.85884,21.70999,21.95556,1.89478,0.75883,0.14885
1.24E+18,24.81406,23.06512,21.82935,23.2018,22.21992,1.74894,1.23577,-1.37245
1.24E+18,18.29387,17.14289,16.68124,16.49593,16.39262,1.15098,0.46165,0.18531
1.24E+18,19.5524,18.59051,18.34567,18.29577,18.24415,0.96189,0.24484,0.0499
1.24E+18,23.50772,21.97567,24.80211,24.36224,21.84497,1.53205,-2.82644,0.43987
1.24E+18,23.53438,21.61141,21.12225,20.75328,20.76287,1.92297,0.48916,0.36897
1.24E+18,23.7107,23.61483,21.17192,20.93968,22.14219,0.09587,2.44291,0.23224
1.24E+18,24.01081,22.51069,21.51612,21.30357,21.72436,1.50012,0.99457,0.21255
1.24E+18,25.28699,22.61754,22.02385,21.34559,21.42691,2.66945,0.59369,0.67826
1.24E+18,23.17173,22.97774,22.25497,21.81085,21.56684,0.19399,0.72277,0.44412
1.24E+18,24.36572,24.01927,22.24417,21.93829,21.94479,0.34645,1.7751,0.30588
1.24E+18,24.99022,24.15835,22.99984,22.21313,23.06878,0.83187,1.15851,0.78671
1.24E+18,17.13453,15.46299,14.8486,14.63083,14.50736,1.67154,0.61439,0.21777
1.24E+18,19.9244,17.71877,16.80154,16.48935,16.32723,2.20563,0.91723,0.31219
1.24E+18,19.83345,18.83548,18.59664,18.54536,18.54109,0.99797,0.23884,0.05128
1.24E+18,21.83106,20.72855,20.30671,20.12477,20.13091,1.10251,0.42184,0.18194
1.24E+18,23.1014,22.34927,20.13699,21.42755,19.9871,0.75213,2.21228,-1.29056
1.24E+18,21.95338,21.27077,21.81872,20.90903,20.75278,0.68261,-0.54795,0.90969
1.24E+18,24.7879,22.32255,21.50159,21.30981,21.57608,2.46535,0.82096,0.19178
1.24E+18,24.86903,22.68591,21.61407,21.26198,21.60307,2.18312,1.07184,0.35209
1.24E+18,25.74651,23.9547,23.1472,21.84527,22.39906,1.79181,0.8075,1.30193
1.24E+18,23.37617,23.16785,22.76714,22.03734,21.67554,0.20832,0.40071,0.7298
1.24E+18,24.3308,24.72647,22.49636,22.29893,22.34035,-0.39567,2.23011,0.19743
1.24E+18,19.8508,18.93825,18.70869,18.62548,18.68805,0.91255,0.22956,0.08321
1.24E+18,19.30285,18.36347,18.1099,18.02377,18.04146,0.93938,0.25357,0.08613
1.24E+18,19.91078,18.93274,18.69221,18.6192,18.63404,0.97804,0.24053,0.07301
1.24E+18,20.67697,19.74049,19.47271,19.41292,19.3881,0.93648,0.26778,0.05979
1.24E+18,21.55204,20.64726,20.23944,20.16421,20.21823,0.90478,0.40782,0.07523
1.24E+18,21.89746,21.04325,20.49299,20.33793,20.54931,0.85421,0.55026,0.15506
1.24E+18,20.42149,19.55279,19.2904,19.20736,19.32479,0.8687,0.26239,0.08304
1.24E+18,21.89303,20.70187,20.44212,20.26756,20.04858,1.19116,0.25975,0.17456
1.24E+18,19.16811,18.22341,17.93725,17.8302,17.81702,0.9447,0.28616,0.10705
1.24E+18,21.6898,20.28614,19.85064,19.73049,20.01649,1.40366,0.4355,0.12015
1.24E+18,22.43417,21.36737,20.88503,20.84135,20.68555,1.0668,0.48234,0.04368
1.24E+18,24.23,22.05704,21.35914,21.16651,21.45818,2.17296,0.6979,0.19263
1.24E+18,23.80581,24.59042,22.09171,23.95047,21.83428,-0.78461,2.49871,-1.85876
1.24E+18,25.21111,22.37859,21.52005,21.52306,21.70311,2.83252,0.85854,-0.00301
1.24E+18,24.46872,24.72766,24.04169,22.12708,21.90149,-0.25894,0.68597,1.91461
1.24E+18,25.88084,23.85677,22.61065,22.11596,22.48183,2.02407,1.24612,0.49469
1.24E+18,19.84142,18.85377,18.64459,18.58506,18.54518,0.98765,0.20918,0.05953
1.24E+18,24.58847,22.39039,21.45113,21.20226,20.83685,2.19808,0.93926,0.24887
1.24E+18,22.35651,19.23428,17.90571,17.36351,17.06358,3.12223,1.32857,0.5422
1.24E+18,20.21361,19.20596,18.98562,18.89805,18.89801,1.00765,0.22034,0.08757
1.24E+18,19.71266,18.60309,18.19796,18.06205,17.97875,1.10957,0.40513,0.13591
1.24E+18,20.45558,19.47673,19.23248,19.17287,19.21709,0.97885,0.24425,0.05961
1.24E+18,25.73568,23.88187,21.54918,20.23596,19.69344,1.85381,2.33269,1.31322
1.24E+18,22.95819,21.77024,21.19441,20.94059,21.47383,1.18795,0.57583,0.25382
1.24E+18,24.22534,22.4876,21.85452,21.6475,22.52114,1.73774,0.63308,0.20702
1.24E+18,20.71622,19.95878,19.63084,19.57979,19.5682,0.75744,0.32794,0.05105
1.24E+18,20.4521,19.54027,19.27669,19.17447,19.22561,0.91183,0.26358,0.10222
1.24E+18,20.9745,19.97098,19.66957,19.58665,19.58454,1.00352,0.30141,0.08292
1.24E+18,21.03819,20.36466,20.01998,19.89626,19.93037,0.67353,0.34468,0.12372
1.24E+18,24.69293,24.46457,22.39387,22.42095,22.54265,0.22836,2.0707,-0.02708
1.24E+18,24.05001,23.87757,22.95419,22.33034,22.46641,0.17244,0.92338,0.62385
1.24E+18,20.83974,19.87381,19.58881,19.52469,19.56643,0.96593,0.285,0.06412
1.24E+18,19.7762,18.81092,18.57228,18.52376,18.54233,0.96528,0.23864,0.04852
1.24E+18,22.03587,20.73088,20.32266,20.20223,20.21006,1.30499,0.40822,0.12043
1.24E+18,24.29373,24.51341,22.60163,21.78454,22.13841,-0.21968,1.91178,0.81709
1.24E+18,25.23731,23.76536,22.53092,22.15509,21.92858,1.47195,1.23444,0.37583
1.24E+18,19.57678,18.61558,18.37369,18.33119,18.29883,0.9612,0.24189,0.0425
1.24E+18,22.91694,21.44867,20.90195,20.46606,20.62722,1.46827,0.54672,0.43589
1.24E+18,23.77256,21.98738,21.22982,21.18262,20.84987,1.78518,0.75756,0.0472
1.24E+18,24.46243,22.79883,21.53699,21.07917,21.05661,1.6636,1.26184,0.45782
1.24E+18,25.97979,22.62443,21.89924,21.81124,21.00713,3.35536,0.72519,0.088
1.24E+18,20.88509,19.91195,19.63623,19.55774,19.4985,0.97314,0.27572,0.07849
1.24E+18,20.89515,19.96022,19.58807,19.50097,19.42159,0.93493,0.37215,0.0871
1.24E+18,24.14495,24.47642,23.71484,21.37139,20.28244,-0.33147,0.76158,2.34345
1.24E+18,20.40761,19.66129,19.34991,19.28049,19.29479,0.74632,0.31138,0.06942
1.24E+18,19.81484,18.8763,18.59397,18.49865,18.44975,0.93854,0.28233,0.09532
1.24E+18,20.90773,20.128,19.83069,19.72336,19.7338,0.77973,0.29731,0.10733
1.24E+18,20.49142,19.49526,19.22621,19.16421,19.1751,0.99616,0.26905,0.062
1.24E+18,20.64544,19.69079,19.4313,19.36815,19.43284,0.95465,0.25949,0.06315
1.24E+18,22.06255,20.70237,20.23995,20.09153,20.1173,1.36018,0.46242,0.14842
1.24E+18,23.33597,21.34687,20.90171,20.71588,20.78103,1.9891,0.44516,0.18583
1.24E+18,23.4246,23.96163,23.3549,21.55518,22.04892,-0.53703,0.60673,1.79972
1.24E+18,24.68019,24.63251,23.59194,22.32995,22.46581,0.04768,1.04057,1.26199
1.24E+18,25.09606,23.47074,22.37362,22.38456,22.28688,1.62532,1.09712,-0.01094
1.24E+18,20.5643,19.05827,18.43175,18.21032,18.09023,1.50603,0.62652,0.22143
1.24E+18,23.87191,22.15892,21.60238,21.38235,21.73468,1.71299,0.55654,0.22003
1.24E+18,24.70014,22.08947,20.56605,19.10916,18.40342,2.61067,1.52342,1.45689
1.24E+18,20.53199,19.81381,19.54681,19.44357,19.4713,0.71818,0.267,0.10324
1.24E+18,21.3813,20.3486,19.99075,19.8957,19.98497,1.0327,0.35785,0.09505
1.24E+18,19.16092,18.15815,18.09481,18.15602,18.22882,1.00277,0.06334,-0.06121
1.24E+18,21.75614,20.78503,20.47567,20.17773,20.05862,0.97111,0.30936,0.29794
1.24E+18,24.01575,22.93551,21.41358,21.11203,20.9886,1.08024,1.52193,0.30155
1.24E+18,23.88129,24.0602,21.88714,21.76934,22.65757,-0.17891,2.17306,0.1178
1.24E+18,19.87255,18.88152,18.63245,18.60739,18.61731,0.99103,0.24907,0.02506
1.24E+18,24.63461,21.34608,19.85023,18.91333,18.37241,3.28853,1.49585,0.9369
1.24E+18,21.83822,20.72541,20.16651,19.98617,19.9141,1.11281,0.5589,0.18034
1.24E+18,25.02098,22.24106,21.50185,21.20276,20.74595,2.77992,0.73921,0.29909
1.24E+18,22.96366,21.75672,20.97805,20.73661,20.57011,1.20694,0.77867,0.24144
1.24E+18,20.93156,19.86467,19.55182,19.44481,19.36286,1.06689,0.31285,0.10701
1.24E+18,22.2261,20.8913,19.71837,19.24529,18.98118,1.3348,1.17293,0.47308
1.24E+18,24.2892,24.40186,22.82016,21.89658,21.57474,-0.11266,1.5817,0.92358
