#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  69  0.785989  3.8097  4.5876 -0.0623  5.9377  5.2024  4.9475  4.8865  4.9010
  70  0.790755  3.8116  4.5820 -0.0463  5.8942  5.1582  4.9086  4.8505  4.8673
  71  0.795482  3.8135  4.5763 -0.0305  5.8513  5.1146  4.8702  4.8150  4.8341
  72  0.800188  3.8153  4.5708 -0.0148  5.8091  5.0715  4.8322  4.7798  4.8011
  73  0.804853  3.8172  4.5652  0.0006  5.7677  5.0290  4.7949  4.7451  4.7687
  74  0.809465  3.8190  4.5596  0.0158  5.7270  4.9873  4.7581  4.7110  4.7367
  75  0.814025  3.8207  4.5540  0.0308  5.6873  4.9461  4.7217  4.6774  4.7050
  76  0.818538  3.8224  4.5484  0.0456  5.6483  4.9056  4.6858  4.6441  4.6737
  77  0.823004  3.8240  4.5428  0.0602  5.6100  4.8655  4.6504  4.6111  4.6428
  78  0.827421  3.8257  4.5372  0.0746  5.5724  4.8259  4.6153  4.5785  4.6122
  79  0.831798  3.8273  4.5317  0.0889  5.5355  4.7865  4.5804  4.5462  4.5819
  80  0.836163  3.8289  4.5263  0.1032  5.4988  4.7471  4.5457  4.5140  4.5518
  81  0.840495  3.8306  4.5209  0.1173  5.4627  4.7080  4.5112  4.4821  4.5219
  82  0.847190  3.8332  4.5127  0.1394  5.4067  4.6473  4.4577  4.4326  4.4757
  83  0.853964  3.8359  4.5047  0.1618  5.3497  4.5852  4.4031  4.3822  4.4288
  84  0.860860  3.8388  4.4965  0.1848  5.2920  4.5216  4.3472  4.3307  4.3807
  85  0.867808  3.8417  4.4884  0.2080  5.2340  4.4570  4.2905  4.2785  4.3321
  86  0.874731  3.8446  4.4804  0.2314  5.1763  4.3920  4.2334  4.2261  4.2834
  87  0.881546  3.8476  4.4724  0.2547  5.1191  4.3271  4.1766  4.1740  4.2352
  88  0.888193  3.8506  4.4644  0.2777  5.0627  4.2627  4.1204  4.1225  4.1875
  89  0.894622  3.8535  4.4565  0.3004  5.0075  4.1994  4.0650  4.0719  4.1407
  90  0.900798  3.8563  4.4485  0.3226  4.9537  4.1375  4.0107  4.0222  4.0946
  91  0.906726  3.8590  4.4406  0.3442  4.9012  4.0769  3.9575  3.9735  4.0494
  92  0.912438  3.8617  4.4329  0.3655  4.8499  4.0174  3.9053  3.9257  4.0052
  93  0.917959  3.8644  4.4252  0.3865  4.7999  3.9587  3.8540  3.8788  3.9617
  94  0.923308  3.8670  4.4176  0.4073  4.7512  3.9007  3.8034  3.8329  3.9194
  95  0.928505  3.8698  4.4104  0.4278  4.7044  3.8431  3.7539  3.7882  3.8784
  96  0.933569  3.8725  4.4033  0.4482  4.6582  3.7858  3.7049  3.7441  3.8380
  97  0.938515  3.8753  4.3965  0.4685  4.6121  3.7287  3.6562  3.7004  3.7982
  98  0.943357  3.8781  4.3899  0.4887  4.5658  3.6717  3.6074  3.6568  3.7583
  99  0.948110  3.8811  4.3834  0.5089  4.5174  3.6147  3.5581  3.6124  3.7176
 100  0.952776  3.8840  4.3771  0.5292  4.4685  3.5578  3.5086  3.5678  3.6768
 101  0.957339  3.8870  4.3709  0.5494  4.4194  3.5009  3.4592  3.5235  3.6361
 102  0.961795  3.8900  4.3646  0.5696  4.3709  3.4442  3.4103  3.4798  3.5961
 103  0.966139  3.8929  4.3583  0.5897  4.3227  3.3878  3.3618  3.4364  3.5564
 104  0.970373  3.8958  4.3517  0.6097  4.2747  3.3320  3.3136  3.3934  3.5171
 105  0.974494  3.8986  4.3449  0.6296  4.2269  3.2767  3.2659  3.3508  3.4778
 106  0.978504  3.9013  4.3379  0.6493  4.1792  3.2222  3.2187  3.3085  3.4386
 107  0.982404  3.9039  4.3306  0.6688  4.1325  3.1684  3.1722  3.2668  3.4000
 108  0.986198  3.9065  4.3231  0.6881  4.0862  3.1154  3.1262  3.2256  3.3618
 109  0.989889  3.9089  4.3153  0.7070  4.0405  3.0634  3.0809  3.1848  3.3238
 110  0.993480  3.9111  4.3072  0.7257  3.9954  3.0125  3.0363  3.1446  3.2863
 111  0.996900  3.9135  4.2996  0.7440  3.9511  2.9628  2.9931  3.1058  3.2501
 112  0.997819  3.9142  4.2979  0.7491  3.9389  2.9491  2.9814  3.0953  3.2405
 113  0.998735  3.9149  4.2962  0.7541  3.9266  2.9354  2.9697  3.0851  3.2310
 114  0.999649  3.9156  4.2945  0.7592  3.9143  2.9216  2.9580  3.0747  3.2215
 115  1.000560  3.9164  4.2928  0.7643  3.9020  2.9079  2.9463  3.0643  3.2119
 116  1.001470  3.9171  4.2910  0.7694  3.8896  2.8940  2.9345  3.0538  3.2022
 117  1.002376  3.9178  4.2890  0.7746  3.8770  2.8801  2.9226  3.0432  3.1924
 118  1.003278  3.9185  4.2868  0.7798  3.8644  2.8661  2.9105  3.0323  3.1821
 119  1.004176  3.9191  4.2844  0.7851  3.8516  2.8520  2.8982  3.0211  3.1716
 120  1.005070  3.9197  4.2817  0.7905  3.8387  2.8378  2.8857  3.0097  3.1607
 121  1.005960  3.9202  4.2789  0.7959  3.8256  2.8235  2.8730  2.9981  3.1495
 122  1.006845  3.9208  4.2759  0.8014  3.8124  2.8090  2.8602  2.9863  3.1382
 123  1.007726  3.9213  4.2727  0.8070  3.7990  2.7944  2.8472  2.9742  3.1265
 124  1.008604  3.9217  4.2694  0.8126  3.7856  2.7797  2.8341  2.9620  3.1146
 125  1.009479  3.9222  4.2659  0.8183  3.7719  2.7649  2.8208  2.9495  3.1026
 126  1.010350  3.9226  4.2624  0.8239  3.7583  2.7500  2.8073  2.9369  3.0903
 127  1.011217  3.9230  4.2586  0.8297  3.7444  2.7350  2.7936  2.9240  3.0778
 128  1.012081  3.9235  4.2548  0.8355  3.7304  2.7198  2.7798  2.9110  3.0650
 129  1.012941  3.9238  4.2507  0.8414  3.7163  2.7046  2.7658  2.8978  3.0521
 130  1.013796  3.9242  4.2466  0.8473  3.7020  2.6891  2.7516  2.8843  3.0388
 131  1.014647  3.9245  4.2423  0.8533  3.6876  2.6736  2.7373  2.8706  3.0254
 132  1.015494  3.9248  4.2378  0.8594  3.6730  2.6579  2.7228  2.8567  3.0116
 133  1.016335  3.9251  4.2331  0.8655  3.6583  2.6421  2.7079  2.8425  2.9976
 134  1.017170  3.9252  4.2281  0.8717  3.6434  2.6261  2.6928  2.8279  2.9830
 135  1.017997  3.9254  4.2226  0.8779  3.6283  2.6099  2.6773  2.8127  2.9679
 136  1.018820  3.9254  4.2170  0.8842  3.6130  2.5936  2.6615  2.7973  2.9524
 137  1.019635  3.9255  4.2111  0.8906  3.5976  2.5771  2.6456  2.7816  2.9366
 138  1.020443  3.9254  4.2049  0.8970  3.5820  2.5605  2.6293  2.7655  2.9205
 139  1.021244  3.9254  4.1985  0.9035  3.5663  2.5437  2.6128  2.7490  2.9039
 140  1.022037  3.9252  4.1918  0.9101  3.5504  2.5268  2.5959  2.7323  2.8868
 141  1.022820  3.9250  4.1847  0.9166  3.5343  2.5097  2.5787  2.7151  2.8693
 142  1.023596  3.9248  4.1773  0.9233  3.5181  2.4924  2.5613  2.6974  2.8514
 143  1.024360  3.9244  4.1696  0.9301  3.5017  2.4750  2.5434  2.6793  2.8329
 144  1.025114  3.9240  4.1613  0.9368  3.4853  2.4575  2.5253  2.6608  2.8138
 145  1.025857  3.9235  4.1527  0.9437  3.4685  2.4399  2.5068  2.6418  2.7942
 146  1.026588  3.9229  4.1437  0.9506  3.4518  2.4221  2.4879  2.6223  2.7741
 147  1.027305  3.9222  4.1341  0.9575  3.4350  2.4043  2.4688  2.6023  2.7533
 148  1.028008  3.9213  4.1241  0.9646  3.4180  2.3865  2.4492  2.5818  2.7319
 149  1.028697  3.9204  4.1134  0.9716  3.4010  2.3686  2.4294  2.5607  2.7097
 150  1.029370  3.9192  4.1022  0.9787  3.3840  2.3509  2.4092  2.5391  2.6870
 151  1.030025  3.9180  4.0903  0.9858  3.3670  2.3332  2.3889  2.5171  2.6635
 152  1.030662  3.9166  4.0777  0.9930  3.3500  2.3157  2.3683  2.4945  2.6394
 153  1.031282  3.9149  4.0644  1.0001  3.3331  2.2985  2.3476  2.4713  2.6145
 154  1.031881  3.9132  4.0503  1.0073  3.3164  2.2816  2.3267  2.4478  2.5888
 155  1.032460  3.9112  4.0355  1.0144  3.2998  2.2652  2.3057  2.4237  2.5625
 156  1.033017  3.9089  4.0197  1.0215  3.2833  2.2494  2.2848  2.3992  2.5354
 157  1.033552  3.9065  4.0030  1.0286  3.2669  2.2341  2.2637  2.3741  2.5075
