#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.500 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  72  0.663769  3.7627  4.6486 -0.3846  6.9640  6.1237  5.7218  5.5870  5.5465
  73  0.667727  3.7648  4.6432 -0.3681  6.9066  6.0756  5.6811  5.5500  5.5122
  74  0.671611  3.7669  4.6378 -0.3517  6.8516  6.0286  5.6411  5.5135  5.4781
  75  0.675424  3.7690  4.6324 -0.3356  6.7982  5.9826  5.6018  5.4774  5.4444
  76  0.679165  3.7710  4.6271 -0.3198  6.7463  5.9375  5.5631  5.4418  5.4111
  77  0.682839  3.7730  4.6217 -0.3041  6.6957  5.8931  5.5250  5.4067  5.3784
  78  0.686450  3.7749  4.6164 -0.2887  6.6463  5.8495  5.4874  5.3723  5.3462
  79  0.689998  3.7769  4.6112 -0.2736  6.5979  5.8065  5.4505  5.3383  5.3144
  80  0.693489  3.7788  4.6060 -0.2586  6.5504  5.7642  5.4141  5.3048  5.2831
  81  0.696923  3.7806  4.6008 -0.2439  6.5038  5.7225  5.3782  5.2718  5.2523
  82  0.702026  3.7834  4.5930 -0.2217  6.4348  5.6604  5.3248  5.2228  5.2064
  83  0.707137  3.7862  4.5852 -0.1995  6.3658  5.5978  5.2710  5.1735  5.1604
  84  0.712247  3.7890  4.5771 -0.1770  6.2974  5.5349  5.2169  5.1237  5.1140
  85  0.717351  3.7918  4.5689 -0.1544  6.2297  5.4717  5.1623  5.0736  5.0670
  86  0.722436  3.7946  4.5602 -0.1317  6.1632  5.4084  5.1072  5.0227  5.0195
  87  0.727493  3.7973  4.5513 -0.1089  6.0970  5.3450  5.0519  4.9716  4.9715
  88  0.732512  3.8000  4.5421 -0.0859  6.0303  5.2815  4.9971  4.9211  4.9242
  89  0.737485  3.8026  4.5324 -0.0629  5.9635  5.2179  4.9425  4.8709  4.8772
  90  0.742399  3.8052  4.5223 -0.0398  5.8974  5.1542  4.8877  4.8204  4.8297
  91  0.747248  3.8076  4.5118 -0.0167  5.8336  5.0907  4.8319  4.7686  4.7809
  92  0.752017  3.8099  4.5008  0.0065  5.7713  5.0274  4.7755  4.7159  4.7310
  93  0.756687  3.8122  4.4894  0.0297  5.7099  4.9643  4.7187  4.6625  4.6804
  94  0.761255  3.8144  4.4774  0.0530  5.6488  4.9012  4.6618  4.6089  4.6294
  95  0.765723  3.8165  4.4651  0.0763  5.5881  4.8381  4.6047  4.5550  4.5780
  96  0.770096  3.8185  4.4524  0.0996  5.5278  4.7751  4.5475  4.5011  4.5266
  97  0.774374  3.8205  4.4394  0.1229  5.4680  4.7121  4.4904  4.4470  4.4749
  98  0.778560  3.8224  4.4261  0.1463  5.4087  4.6492  4.4332  4.3930  4.4232
  99  0.782658  3.8243  4.4125  0.1695  5.3498  4.5863  4.3760  4.3388  4.3714
 100  0.786687  3.8262  4.3990  0.1928  5.2914  4.5234  4.3188  4.2846  4.3195
 101  0.790646  3.8280  4.3851  0.2160  5.2334  4.4607  4.2615  4.2302  4.2675
 102  0.794523  3.8298  4.3712  0.2392  5.1757  4.3982  4.2041  4.1758  4.2155
 103  0.798319  3.8315  4.3572  0.2623  5.1186  4.3359  4.1471  4.1216  4.1634
 104  0.802035  3.8332  4.3430  0.2853  5.0620  4.2740  4.0901  4.0675  4.1115
 105  0.805669  3.8348  4.3287  0.3082  5.0058  4.2123  4.0334  4.0135  4.0596
 106  0.809215  3.8364  4.3142  0.3309  4.9502  4.1512  3.9770  3.9597  4.0079
 107  0.812687  3.8380  4.2996  0.3536  4.8951  4.0903  3.9207  3.9062  3.9563
 108  0.816066  3.8394  4.2848  0.3760  4.8405  4.0299  3.8647  3.8527  3.9048
 109  0.819352  3.8408  4.2698  0.3984  4.7864  3.9700  3.8092  3.7996  3.8534
 110  0.822545  3.8421  4.2546  0.4206  4.7327  3.9106  3.7538  3.7466  3.8022
 111  0.825648  3.8434  4.2392  0.4427  4.6796  3.8516  3.6988  3.6938  3.7511
 112  0.826458  3.8437  4.2350  0.4485  4.6656  3.8361  3.6843  3.6799  3.7376
 113  0.827267  3.8440  4.2309  0.4544  4.6514  3.8203  3.6695  3.6657  3.7238
 114  0.828072  3.8444  4.2267  0.4602  4.6374  3.8047  3.6550  3.6517  3.7102
 115  0.828872  3.8447  4.2226  0.4662  4.6230  3.7887  3.6400  3.6375  3.6965
 116  0.829667  3.8451  4.2186  0.4723  4.6082  3.7721  3.6248  3.6229  3.6825
 117  0.830459  3.8456  4.2146  0.4783  4.5936  3.7557  3.6097  3.6086  3.6687
 118  0.831247  3.8460  4.2106  0.4845  4.5787  3.7390  3.5943  3.5941  3.6548
 119  0.832031  3.8465  4.2069  0.4907  4.5637  3.7219  3.5788  3.5794  3.6408
 120  0.832812  3.8471  4.2031  0.4970  4.5485  3.7048  3.5632  3.5648  3.6269
 121  0.833590  3.8476  4.1993  0.5034  4.5333  3.6874  3.5475  3.5499  3.6127
 122  0.834362  3.8481  4.1954  0.5097  4.5180  3.6700  3.5316  3.5350  3.5984
 123  0.835132  3.8486  4.1913  0.5162  4.5025  3.6524  3.5156  3.5198  3.5839
 124  0.835895  3.8490  4.1870  0.5227  4.4868  3.6349  3.4993  3.5044  3.5691
 125  0.836653  3.8494  4.1823  0.5293  4.4711  3.6172  3.4829  3.4886  3.5540
 126  0.837403  3.8498  4.1774  0.5360  4.4552  3.5994  3.4662  3.4726  3.5384
 127  0.838147  3.8501  4.1722  0.5427  4.4390  3.5815  3.4493  3.4563  3.5224
 128  0.838884  3.8503  4.1667  0.5495  4.4228  3.5635  3.4322  3.4398  3.5061
 129  0.839614  3.8505  4.1611  0.5564  4.4065  3.5454  3.4150  3.4229  3.4897
 130  0.840337  3.8507  4.1553  0.5633  4.3899  3.5272  3.3974  3.4059  3.4729
 131  0.841053  3.8509  4.1493  0.5703  4.3732  3.5089  3.3798  3.3886  3.4559
 132  0.841762  3.8510  4.1431  0.5774  4.3564  3.4905  3.3620  3.3712  3.4386
