#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 1.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
   3  0.115742  3.5591  5.3366 -2.6452 16.8040 13.4114 11.8415 11.2243 10.8786
   4  0.125169  3.5684  5.2982 -2.5358 16.1895 13.0291 11.5284 10.9482 10.6190
   5  0.138098  3.5788  5.2550 -2.4084 15.5012 12.5856 11.1707 10.6259 10.3136
   6  0.161443  3.5910  5.2034 -2.2405 14.6728 12.0160 10.7082 10.2003  9.9068
   7  0.203343  3.6036  5.1471 -2.0337 13.8075 11.3546 10.1498  9.6752  9.4005
   8  0.254787  3.6144  5.0959 -1.8415 13.0556 10.7575  9.6334  9.1855  8.9275
   9  0.290304  3.6202  5.0661 -1.7315 12.6500 10.4222  9.3379  8.9044  8.6560
  10  0.313541  3.6235  5.0480 -1.6668 12.4153 10.2260  9.1640  8.7389  8.4959
  11  0.323481  3.6248  5.0414 -1.6411 12.3221 10.1488  9.0952  8.6733  8.4325
  12  0.331139  3.6258  5.0360 -1.6214 12.2514 10.0900  9.0426  8.6231  8.3840
  13  0.338049  3.6267  5.0309 -1.6037 12.1872 10.0369  8.9951  8.5778  8.3403
  14  0.344937  3.6277  5.0249 -1.5852 12.1204  9.9816  8.9456  8.5306  8.2946
  15  0.352733  3.6288  5.0170 -1.5633 12.0417  9.9163  8.8871  8.4747  8.2405
  16  0.359310  3.6297  5.0080 -1.5425 11.9682  9.8547  8.8318  8.4217  8.1891
  17  0.364286  3.6304  5.0053 -1.5308 11.9232  9.8186  8.8001  8.3918  8.1604
  18  0.371423  3.6314  4.9952 -1.5086 11.8471  9.7543  8.7417  8.3356  8.1056
  19  0.404162  3.6374  4.9627 -1.4153 11.4846  9.4591  8.4857  8.0952  7.8755
  20  0.439822  3.6455  4.9298 -1.3131 11.0631  9.1297  8.2025  7.8315  7.6253
  21  0.462410  3.6519  4.9066 -1.2424 10.7564  8.8971  8.0048  7.6490  7.4533
  22  0.471575  3.6548  4.8965 -1.2123 10.6220  8.7982  7.9209  7.5716  7.3805
